samplename	MiFish_STD_04-2	MiFish_STD_03	MiFish_STD_02	MiFish_STD_01	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110
ClaidentTutorial__Sample01__MiFish	1645	572	393	225	214	0	474	353	175	318	0	384	340	0	282	297	185	0	0	229	277	0	191	529	183	0	320	0	0	0	373	236	346	0	0	0	0	421	0	0	0	0	0	449	377	395	476	0	338	356	0	0	0	0	341	0	392	204	0	533	0	413	0	0	0	305	346	478	521	0	0	0	0	0	459	0	0	420	390	408	0	468	0	0	0	260	216	189	406	0	0	346	228	0	0	156	402	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0
ClaidentTutorial__Sample02__MiFish	1628	674	459	220	217	0	293	298	468	0	0	336	385	0	361	460	258	0	816	430	296	0	412	0	353	0	196	0	319	0	0	237	382	0	0	0	0	373	379	0	521	0	0	368	250	400	0	413	319	170	0	0	0	0	268	0	319	289	0	203	0	232	0	0	0	0	378	376	0	0	0	0	0	0	356	0	0	118	392	285	624	0	0	476	0	176	0	0	143	0	0	300	235	404	0	314	231	282	0	0	113	524	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	1598	764	385	152	277	0	0	316	237	0	0	316	487	0	243	246	393	0	292	240	377	458	0	0	388	0	165	0	194	0	0	369	0	0	330	0	0	247	220	0	185	357	0	0	140	376	0	368	360	444	0	555	431	537	0	0	0	238	0	0	0	310	0	0	0	0	0	250	0	0	0	0	0	0	530	0	303	323	469	359	224	0	0	413	529	279	0	0	487	0	0	287	284	327	0	283	206	0	0	0	0	543	0	134	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	1604	623	475	194	0	0	0	364	288	596	555	363	526	0	376	205	0	0	275	296	207	279	0	0	319	0	324	498	204	117	0	221	0	0	378	431	0	185	230	0	369	458	0	0	342	0	0	394	0	0	0	191	283	381	0	0	0	222	377	0	471	334	0	0	0	0	324	338	0	0	0	0	0	0	0	715	236	271	285	324	0	469	0	276	361	0	0	0	371	0	0	195	0	419	0	242	376	0	0	0	0	221	0	322	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	1568	565	414	232	0	553	142	398	274	384	248	530	187	0	255	0	0	643	410	227	327	292	412	329	459	0	365	449	235	109	0	364	0	529	330	199	0	264	144	397	432	0	0	0	0	0	0	311	440	0	0	359	235	224	0	0	0	0	446	0	0	299	0	0	0	0	255	248	0	0	0	0	0	0	0	517	580	122	0	0	546	0	0	344	368	0	0	0	413	0	0	223	0	213	0	0	324	0	440	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	1821	445	416	181	0	520	459	157	245	364	292	408	351	418	222	0	0	218	189	521	143	267	357	193	0	0	372	0	0	314	0	0	400	280	358	233	0	372	489	369	298	0	0	0	0	0	577	263	197	0	0	363	293	297	0	537	0	0	293	89	0	244	0	564	0	0	410	298	0	0	0	0	0	0	0	443	0	317	0	355	188	0	0	194	0	448	0	432	0	0	0	414	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	1639	566	353	112	567	403	275	0	216	248	418	282	277	339	368	0	0	285	194	220	506	244	274	0	0	0	352	570	0	478	497	757	193	228	226	0	0	475	230	317	358	0	0	0	115	0	309	344	295	0	0	542	129	168	297	324	531	0	249	383	0	260	0	365	0	406	522	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	288	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	396	0	0	500	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	1613	519	403	195	473	500	220	0	194	353	165	481	317	309	422	525	311	391	377	392	293	261	253	0	0	393	265	499	0	376	345	115	491	362	473	0	525	0	167	227	274	0	572	0	0	0	310	281	0	0	413	0	137	320	326	403	315	0	380	0	105	120	422	318	0	182	0	0	0	0	0	0	0	507	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	560	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	1699	420	410	209	310	342	458	439	441	271	337	289	0	392	344	300	192	0	0	557	275	252	298	0	0	321	236	394	0	369	222	316	490	211	0	0	0	0	0	256	330	0	269	77	0	0	422	0	344	0	211	0	295	308	239	165	294	337	357	620	0	280	155	424	585	399	0	0	0	0	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	390	0	0	0	0	0	0	0	0	0	0	463	246	0	0	0	0	0	0	0	0	322	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	1617	564	458	200	379	272	389	408	241	167	188	311	0	207	177	315	399	0	0	0	492	227	377	0	0	369	159	441	0	382	301	210	297	0	508	0	472	0	0	0	487	545	159	473	0	793	276	0	264	542	0	0	398	350	187	376	201	408	0	339	471	0	260	292	333	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	308	313	0	0	0	211	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample11__MiFish	1421	693	376	192	395	307	438	276	293	400	500	0	0	308	210	293	340	379	0	0	234	0	329	310	0	199	0	518	475	219	124	345	0	0	0	0	486	0	0	0	0	554	219	0	573	311	0	0	352	248	329	0	165	0	250	169	375	248	0	265	215	0	327	300	335	0	0	0	0	658	0	343	0	0	0	0	0	0	0	0	0	398	401	0	443	0	415	335	0	0	0	0	0	0	0	0	0	0	0	487	0	0	584	0	0	0	0	0	0	0	0	0	0	100
ClaidentTutorial__Sample12__MiFish	1654	502	302	192	0	317	326	476	214	216	184	672	0	299	346	468	264	248	0	0	194	618	277	287	341	217	0	403	596	339	367	323	0	0	0	0	469	0	0	0	0	365	98	0	289	142	0	0	384	148	287	433	0	0	0	0	0	378	0	313	459	0	456	373	177	0	0	0	404	0	562	422	0	540	0	0	0	0	0	0	0	431	0	0	263	472	227	0	0	0	0	0	376	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204
ClaidentTutorial__Sample13__MiFish	1887	657	351	202	579	285	328	156	416	218	236	181	0	407	438	455	288	221	157	0	434	315	275	263	270	373	0	312	270	408	0	0	0	289	0	505	308	0	0	416	0	353	177	0	337	0	0	0	205	329	308	0	0	0	0	0	537	188	0	309	454	0	206	210	260	0	0	745	466	0	217	259	0	219	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	364	0	339	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	1622	616	292	170	503	497	302	396	321	429	269	0	549	248	253	663	443	227	460	0	376	142	478	259	315	252	0	0	223	362	598	0	336	335	0	237	0	0	0	190	0	410	260	0	308	0	0	415	0	299	0	0	0	0	0	0	276	315	0	0	210	0	0	0	301	80	0	0	284	0	208	275	556	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	460	132	0	267	0	0	0	0	0	337	0	0	0	434	0	0	381	0	0	0	517	0	0	0	0
ClaidentTutorial__Sample15__MiFish	1664	666	352	219	313	285	0	407	0	469	338	0	237	437	191	153	192	552	386	550	303	242	0	405	424	278	0	0	148	580	0	0	185	244	0	359	0	0	342	276	0	281	0	425	0	0	387	325	0	340	0	0	0	0	0	0	0	0	501	0	253	0	0	0	315	165	0	0	446	126	331	435	505	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	356	142	0	0	0	0	0	0	0	194	0	489	0	226	558	0	167	730	0	0	278	0	0	0	0
ClaidentTutorial__Sample16__MiFish	1670	513	319	177	336	311	378	218	0	0	271	483	494	430	143	263	225	469	197	286	0	173	0	225	351	427	0	0	221	0	0	0	413	158	124	294	682	445	385	224	0	374	555	462	0	436	436	395	0	284	572	0	0	0	0	0	0	0	0	0	267	423	0	0	309	603	0	0	224	483	311	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	411	0	0	0	363	0	0	0	0	0	301	0	0	0	0	102	327	0	0	0	0	0	0	0
ClaidentTutorial__Sample17__MiFish	1677	579	412	225	385	496	314	0	607	0	270	0	334	341	347	233	395	255	0	410	0	293	0	331	208	234	0	0	329	0	480	0	0	138	346	335	148	464	352	423	0	0	262	279	398	290	320	0	0	330	172	0	832	0	437	274	0	0	0	0	0	0	0	0	145	293	0	0	302	251	353	0	230	0	0	0	544	0	0	0	0	0	483	0	0	0	0	0	0	351	368	0	0	0	373	0	0	493	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample18__MiFish	1527	476	396	253	221	187	149	323	308	535	357	356	239	373	0	0	435	248	449	385	0	196	0	423	247	474	498	0	239	0	273	0	0	349	222	477	239	0	294	170	0	0	358	480	414	137	0	0	0	0	533	0	161	386	0	221	0	0	483	0	0	0	0	0	0	323	0	0	0	339	447	0	365	550	380	0	0	0	0	0	0	0	408	0	0	0	0	0	0	455	220	0	0	0	481	0	0	175	0	0	303	0	0	0	667	0	0	0	0	0	112	0	0	0
ClaidentTutorial__Sample19__MiFish	1656	541	336	199	245	209	509	347	302	193	541	0	371	446	0	0	311	340	331	0	0	209	0	568	386	301	519	0	271	0	134	460	0	385	249	408	257	536	492	0	443	0	493	339	0	242	0	0	0	0	266	550	0	188	602	489	0	320	0	0	75	0	528	0	0	0	0	0	0	400	154	0	329	334	182	0	0	0	386	0	0	0	124	0	0	0	0	0	0	0	139	0	0	0	147	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	349	418	0	0
ClaidentTutorial__Sample20__MiFish	1593	574	427	209	474	319	294	340	377	346	291	0	229	287	0	0	243	335	238	0	0	249	731	374	195	409	413	0	334	0	254	0	410	428	302	351	197	0	0	436	0	0	262	198	0	0	0	0	0	0	389	401	0	195	400	374	0	0	0	0	0	0	498	0	0	0	505	0	0	357	0	0	289	238	388	0	583	0	269	425	494	0	288	0	0	0	276	0	0	0	0	0	0	0	219	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	195	0	0
