query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_074	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Zeiformes	Zeiformes	Zeiformes	Zeidae	Zeidae	Zeidae	Zeidae	Zeidae	Zeus	Zeus	Zeus	Zeus	Zeus faber	Zeus faber	Zeus faber	Zeus faber	Zeus faber	Zeus faber	Zeus faber	unidentified Zeus faber	unidentified Zeus faber	unidentified Zeus faber	unidentified Zeus faber	unidentified Zeus faber	unidentified Zeus faber
otu_075	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossidae	Cynoglossinae	Cynoglossus	Cynoglossus	Cynoglossus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus	unidentified Cynoglossus abbreviatus
otu_076	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Balistoidea	Balistoidea	Balistoidea	Balistoidea	Monacanthidae	Rudarius	Rudarius	Rudarius	Rudarius	Rudarius ercodes	Rudarius ercodes	Rudarius ercodes	Rudarius ercodes	Rudarius ercodes	Rudarius ercodes	Rudarius ercodes	unidentified Rudarius ercodes	unidentified Rudarius ercodes	unidentified Rudarius ercodes	unidentified Rudarius ercodes	unidentified Rudarius ercodes	unidentified Rudarius ercodes
otu_077	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Xenocyprididae	Xenocyprididae	Xenocyprididae	Xenocyprididae	Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae
otu_078	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Danionidae	Chedrinae	Luciosoma	Luciosoma	Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma	unidentified Luciosoma
otu_079	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Atherinomorphae	Atherinomorphae	Cyprinodontiformes	Aplocheiloidei	Nothobranchiidae	Nothobranchiidae	Nothobranchiidae	Nothobranchiidae	Epiplatys	Epiplatys	Epiplatys	Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys	unidentified Epiplatys
otu_080	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Cyematidae	Cyematidae	Cyematidae	Cyematidae	Cyematidae	Cyema	Cyema	Cyema	Cyema	Cyema atrum	Cyema atrum	Cyema atrum	Cyema atrum	Cyema atrum	Cyema atrum	Cyema atrum	unidentified Cyema atrum	unidentified Cyema atrum	unidentified Cyema atrum	unidentified Cyema atrum	unidentified Cyema atrum	unidentified Cyema atrum
otu_081	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Bothidae	Bothidae	Bothidae	Bothidae	Bothus	Bothus	Bothus	Bothus	Bothus myriaster	Bothus myriaster	Bothus myriaster	Bothus myriaster	Bothus myriaster	Bothus myriaster	Bothus myriaster	unidentified Bothus myriaster	unidentified Bothus myriaster	unidentified Bothus myriaster	unidentified Bothus myriaster	unidentified Bothus myriaster	unidentified Bothus myriaster
otu_082	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Beryciformes	Beryciformes	Beryciformes	Melamphaidae	Melamphaidae	Melamphaidae	Melamphaidae	Melamphaidae	Poromitra	Poromitra	Poromitra	Poromitra	Poromitra oscitans	Poromitra oscitans	Poromitra oscitans	Poromitra oscitans	Poromitra oscitans	Poromitra oscitans	Poromitra oscitans	unidentified Poromitra oscitans	unidentified Poromitra oscitans	unidentified Poromitra oscitans	unidentified Poromitra oscitans	unidentified Poromitra oscitans	unidentified Poromitra oscitans
otu_083	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Albuliformes	Albuliformes	Albuliformes	Albuliformes	Albulidae	Albulidae	Albulidae	Albulidae	Albulidae	Albulinae	Albula	Albula	Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula	unidentified Albula
otu_084	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Danionidae	Esominae	Esomus	Esomus	Esomus	Esomus metallicus	Esomus metallicus	Esomus metallicus	Esomus metallicus	Esomus metallicus	Esomus metallicus	Esomus metallicus	unidentified Esomus metallicus	unidentified Esomus metallicus	unidentified Esomus metallicus	unidentified Esomus metallicus	unidentified Esomus metallicus	unidentified Esomus metallicus
otu_085	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gadiformes	Gadiformes	Gadiformes	Macrouroidei	Macrouridae	Macrouridae	Macrouridae	Macrouridae	Macrouroidinae	Squalogadus	Squalogadus	Squalogadus	Squalogadus modificatus	Squalogadus modificatus	Squalogadus modificatus	Squalogadus modificatus	Squalogadus modificatus	Squalogadus modificatus	Squalogadus modificatus	unidentified Squalogadus modificatus	unidentified Squalogadus modificatus	unidentified Squalogadus modificatus	unidentified Squalogadus modificatus	unidentified Squalogadus modificatus	unidentified Squalogadus modificatus
otu_086	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Muraenidae	Muraenidae	Muraenidae	Muraenidae	Muraenidae	Muraeninae	Gymnothorax	Gymnothorax	Gymnothorax	Gymnothorax kidako	Gymnothorax kidako	Gymnothorax kidako	Gymnothorax kidako	Gymnothorax kidako	Gymnothorax kidako	Gymnothorax kidako	unidentified Gymnothorax kidako	unidentified Gymnothorax kidako	unidentified Gymnothorax kidako	unidentified Gymnothorax kidako	unidentified Gymnothorax kidako	unidentified Gymnothorax kidako
otu_087	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Clupei	Clupeiformes	Clupeiformes	Clupeoidei	Clupeidae	Clupeidae	Clupeidae	Clupeidae	Clupeinae	Escualosa	Escualosa	Escualosa	Escualosa thoracata	Escualosa thoracata	Escualosa thoracata	Escualosa thoracata	Escualosa thoracata	Escualosa thoracata	Escualosa thoracata	unidentified Escualosa thoracata	unidentified Escualosa thoracata	unidentified Escualosa thoracata	unidentified Escualosa thoracata	unidentified Escualosa thoracata	unidentified Escualosa thoracata
otu_088	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gadiformes	Gadiformes	Gadiformes	Gadoidei	Bregmacerotidae	Bregmacerotidae	Bregmacerotidae	Bregmacerotidae	Bregmaceros	Bregmaceros	Bregmaceros	Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros	unidentified Bregmaceros
otu_089	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Osmeriformes	Osmeriformes	Osmeriformes	Retropinnidae	Retropinnidae	Retropinnidae	Retropinnidae	Retropinnidae	Retropinna	Retropinna	Retropinna	Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna	unidentified Retropinna
otu_090	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Tetraodontoidei	Tetradontoidea	Tetradontoidea	Tetradontoidea	Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae
otu_091	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Atherinomorphae	Atherinomorphae	Cyprinodontiformes	Aplocheiloidei	Nothobranchiidae	Nothobranchiidae	Nothobranchiidae	Nothobranchiidae	Nothobranchius	Nothobranchius	Nothobranchius	Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius	unidentified Nothobranchius
otu_092	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Danionidae	Rasborinae	Rasbora	Rasbora	Rasbora	Rasbora daniconius	Rasbora daniconius	Rasbora daniconius	Rasbora daniconius	Rasbora daniconius	Rasbora daniconius	Rasbora daniconius	unidentified Rasbora daniconius	unidentified Rasbora daniconius	unidentified Rasbora daniconius	unidentified Rasbora daniconius	unidentified Rasbora daniconius	unidentified Rasbora daniconius
otu_093	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Centrarchiformes	Centrarchiformes	Centrarchiformes	Cirrhitioidei	Cirrhitioidei	Cirrhitioidei	Cirrhitioidei	Cirrhitidae	Paracirrhites	Paracirrhites	Paracirrhites	Paracirrhites	Paracirrhites arcatus	Paracirrhites arcatus	Paracirrhites arcatus	Paracirrhites arcatus	Paracirrhites arcatus	Paracirrhites arcatus	Paracirrhites arcatus	unidentified Paracirrhites arcatus	unidentified Paracirrhites arcatus	unidentified Paracirrhites arcatus	unidentified Paracirrhites arcatus	unidentified Paracirrhites arcatus	unidentified Paracirrhites arcatus
otu_094	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Syngnathiformes	Syngnathiformes	Syngnathiformes	Dactylopteroidei	Dactylopteridae	Dactylopteridae	Dactylopteridae	Dactylopteridae	Dactyloptena	Dactyloptena	Dactyloptena	Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena	unidentified Dactyloptena
otu_095	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Sarcopterygii	Dipnomorpha	Dipnomorpha	Ceratodontae	Ceratodontae	Ceratodontae	Ceratodontae	Ceratodontiformes	Lepidosirenoidei	Protopteridae	Protopteridae	Protopteridae	Protopteridae	Protopterus	Protopterus	Protopterus	Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus	unidentified Protopterus
otu_096	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Achiridae	Achiridae	Achiridae	Achiridae	Trinectes	Trinectes	Trinectes	Trinectes	Trinectes maculatus	Trinectes maculatus	Trinectes maculatus	Trinectes maculatus	Trinectes maculatus	Trinectes maculatus	Trinectes maculatus	unidentified Trinectes maculatus	unidentified Trinectes maculatus	unidentified Trinectes maculatus	unidentified Trinectes maculatus	unidentified Trinectes maculatus	unidentified Trinectes maculatus
otu_097	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Bothidae	Bothidae	Bothidae	Bothidae	Asterorhombus	Asterorhombus	Asterorhombus	Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus	unidentified Asterorhombus
otu_098	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Anabantiformes	Anabantiformes	Anabantiformes	Anabantoidei	Osphronemidae	Osphronemidae	Osphronemidae	Osphronemidae	Macropodinae	Macropodus	Macropodus	Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus	unidentified Macropodus
otu_099	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Gobioidei	Kraemeriidae	Kraemeriidae	Kraemeriidae	Kraemeriidae	Kraemeria	Kraemeria	Kraemeria	Kraemeria	Kraemeria cunicularia	Kraemeria cunicularia	Kraemeria cunicularia	Kraemeria cunicularia	Kraemeria cunicularia	Kraemeria cunicularia	Kraemeria cunicularia	unidentified Kraemeria cunicularia	unidentified Kraemeria cunicularia	unidentified Kraemeria cunicularia	unidentified Kraemeria cunicularia	unidentified Kraemeria cunicularia	unidentified Kraemeria cunicularia
otu_100	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Esociformes	Esociformes	Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes	unidentified Esociformes
otu_101	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Syngnathiformes	Syngnathiformes	Syngnathiformes	Syngnathoidei	Solenostomidae	Solenostomidae	Solenostomidae	Solenostomidae	Solenostomus	Solenostomus	Solenostomus	Solenostomus	Solenostomus cyanopterus	Solenostomus cyanopterus	Solenostomus cyanopterus	Solenostomus cyanopterus	Solenostomus cyanopterus	Solenostomus cyanopterus	Solenostomus cyanopterus	unidentified Solenostomus cyanopterus	unidentified Solenostomus cyanopterus	unidentified Solenostomus cyanopterus	unidentified Solenostomus cyanopterus	unidentified Solenostomus cyanopterus	unidentified Solenostomus cyanopterus
otu_102	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Clupei	Clupeiformes	Clupeiformes	Clupeoidei	Clupeidae	Clupeidae	Clupeidae	Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae	unidentified Clupeidae
otu_103	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Lophiiformes	Lophiiformes	Lophiiformes	Ceratioidei	Melanocetidae	Melanocetidae	Melanocetidae	Melanocetidae	Melanocetus	Melanocetus	Melanocetus	Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus	unidentified Melanocetus
otu_104	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Sarcopterygii	Dipnomorpha	Dipnomorpha	Ceratodontae	Ceratodontae	Ceratodontae	Ceratodontae	Ceratodontiformes	Ceratodontoidei	Ceratodontidae	Ceratodontidae	Ceratodontidae	Ceratodontidae	Neoceratodus	Neoceratodus	Neoceratodus	Neoceratodus	Neoceratodus forsteri	Neoceratodus forsteri	Neoceratodus forsteri	Neoceratodus forsteri	Neoceratodus forsteri	Neoceratodus forsteri	Neoceratodus forsteri	unidentified Neoceratodus forsteri	unidentified Neoceratodus forsteri	unidentified Neoceratodus forsteri	unidentified Neoceratodus forsteri	unidentified Neoceratodus forsteri	unidentified Neoceratodus forsteri
otu_105	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Gonorynchiformes	Gonorynchiformes	Gonorynchoidei	Gonorynchidae	Gonorynchidae	Gonorynchidae	Gonorynchidae	Gonorynchus	Gonorynchus	Gonorynchus	Gonorynchus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus	unidentified Gonorynchus abbreviatus
otu_106	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gadiformes	Gadiformes	Gadiformes	Macrouroidei	Macrouridae	Macrouridae	Macrouridae	Macrouridae	Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae	unidentified Macrourinae
otu_107	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Serranoidei	Serranidae	Serranidae	Serranidae	Serranidae	Anthiinae	Pseudanthias	Pseudanthias	Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias	unidentified Pseudanthias
otu_108	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes	unidentified Anguilliformes
otu_109	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Tetraodontoidei	Tetradontoidea	Tetradontoidea	Tetradontoidea	Tetraodontidae	Tylerius	Tylerius	Tylerius	Tylerius	Tylerius spinosissimus	Tylerius spinosissimus	Tylerius spinosissimus	Tylerius spinosissimus	Tylerius spinosissimus	Tylerius spinosissimus	Tylerius spinosissimus	unidentified Tylerius spinosissimus	unidentified Tylerius spinosissimus	unidentified Tylerius spinosissimus	unidentified Tylerius spinosissimus	unidentified Tylerius spinosissimus	unidentified Tylerius spinosissimus
otu_110	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Syngnathiformes	Syngnathiformes	Syngnathiformes	Callionymoidei	Draconettidae	Draconettidae	Draconettidae	Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae	unidentified Draconettidae
otu_111	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Moronidae	Moronidae	Moronidae	Moronidae	Moronidae	Moronidae	Moronidae	Moronidae	Morone	Morone	Morone	Morone	Morone americana	Morone americana	Morone americana	Morone americana	Morone americana	Morone americana	Morone americana	unidentified Morone americana	unidentified Morone americana	unidentified Morone americana	unidentified Morone americana	unidentified Morone americana	unidentified Morone americana
